name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.3182,19.0,850.0,850.0,0.127,0.0984,0.0,0.0,0.0877,0.0125,0.0,0.0,0.0107,0.0483,0.0698,0.0,0.0143,0.254,0.0,,,,,,,,,0.0238,0.0,0.0172,0.9522,0.0017,0.0013,0.0038,,,,,,,,0.0661,,,,,,,,,,,,,4072.0,7304.0,,4707.0,4804.0,6001.0,0.8168,,0.3324,,0.8076923076923,,,,,,,,0.3571,,,0.1334,0.078,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8778,27.0,1106.0,1106.0,0.0723,0.0553,0.0,0.0011,0.0783,0.0066,0.0137,0.0,0.0197,0.0219,0.0394,0.0,0.04,0.1648,0.0312,,,,,,,,,0.0214,0.0308,0.5944,0.2937,0.0421,0.0031,0.0145,,,,,,,,0.252,,,,,,,,,,,,,4208.0,9296.0,,4862.0,15733.0,8697.0,0.9291,,0.3766,,0.56038647342995,,,,,,,,0.3684,0.381,,0.2747,0.04,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6176,0.0,0.0,0.0,0.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.07,0.5248,0.3382,0.0029,0.0029,0.0612,,,,,,,,0.2682,,,,,,,,,,,,,6240.0,6240.0,,10986.0,5532.0,3217.0,0.5814,,0.2,,1.0,,,,,,,,,,,0.8659,0.021,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.88,27.0,1121.0,1121.0,0.031,0.2333,0.0,0.0,0.0702,0.0167,0.0119,0.0,0.0202,0.0,0.0333,0.0,0.0298,0.25,0.0143,,,,,,,,,0.0327,0.0194,0.7301,0.1487,0.0302,0.016,0.0228,,,,,,,,0.2424,,,,,,,,,,,,,5216.0,11024.0,,5000.0,7548.0,7777.0,0.6175,,0.4409,,0.52093342484557,,,,,,,,0.5,,,0.2573,0.037000000000000005,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.4159,18.0,784.0,784.0,0.2146,0.0,0.0,0.0,0.061,0.0197,0.0,0.0,0.0059,0.0787,0.0315,0.0,0.0551,0.1417,0.0039,,,,,,,,,0.0034,0.0032,0.0157,0.9740000000000001,0.0011,0.0,0.0026,,,,,,,,0.0977,,,,,,,,,,,,,4508.0,8516.0,,4992.0,5740.0,6430.0,0.5829,,0.2732,,0.8801302931596,,,,,,,,1.0,0.3438,,0.1242,0.11,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.6386,27.0,1106.0,1106.0,0.0546,0.061,0.0,0.0,0.03,0.0038,0.0057,0.0,0.0089,0.0109,0.0454,0.0,0.0495,0.2807,0.0208,,,,,,,,,0.008,0.0,0.8452,0.1122,0.0092,0.006,0.0193,,,,,,,,0.08,,,,,,,,,,,,,5700.0,16518.0,,7079.0,7337.0,8651.0,0.7546,,0.6509999999999999,,0.75882452288464,,,,,,,,0.35,,,0.0843,0.040999999999999995,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1014,0.0,,,,,,,,,0.0,0.0041,0.7313,0.2522,0.0028,0.0041,0.0055,,,,,,,,0.401,,,,,,,,,,,,,2700.0,4830.0,,1436.0,4233.0,5532.0,0.251,,,0.0875,0.75254237288135,,,,,,,,,,,0.3877,0.153,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.3268,0.0,0.0,0.0504,0.0283,0.0332,0.0074,0.0,0.0012,0.0,0.0246,0.0,0.0098,0.2985,0.0233,,,,,,,,,0.0,0.0255,0.8184,0.1116,0.0077,0.027999999999999997,0.0087,,,,,,,,0.5329,,,,,,,,,,,,,,,,2112.0,5143.0,7089.0,0.4343,,,,,,,,,,,,,,,0.6803,0.025,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9174,22.0,950.0,950.0,0.1429,0.0,0.0,0.0453,0.0906,0.006999999999999999,0.0,0.0,0.0122,0.0,0.0244,0.0,0.0122,0.3345,0.0139,,,,,,,,,0.0005,0.0264,0.6188,0.3157,0.0218,0.0046,0.0122,,,,,,,,0.3589,,,,,,,,,,,,,5010.0,14490.0,,4066.0,5413.0,6723.0,1.0,,0.2695,,0.73955431754874,,,,,,,,,0.0,,0.294,0.064,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.6897,27.0,1126.0,1126.0,0.1058,0.125,0.0,0.0,0.0692,0.0061,0.0042,0.0,0.0074,0.0126,0.0719,0.0,0.0397,0.2348,0.0132,,,,,,,,,0.0057,0.0109,0.8509,0.08900000000000001,0.0171,0.0067,0.0198,,,,,,,,0.0835,,,,,,,,,,,,,5834.0,16334.0,,8945.0,7612.0,8746.0,0.8802,,0.6339,,0.7548539285066199,,,,,,,,0.5,0.8,,0.0407,0.018000000000000002,
